1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
57	92	45	2	98	71	64	39	28	72	35	43	10	96	42	16	17	40	62	30	9	59	32	65	83
2	44	93	37	63	4	31	68	14	43	26	64	98	79	65	55	59	49	60	82	69	58	91	12	5
79	17	74	67	33	9	58	36	60	49	76	77	80	90	41	6	20	59	47	73	62	14	93	53	5
21	9	77	23	16	37	11	76	34	29	15	50	99	71	39	7	72	61	4	69	47	66	98	54	79
65	48	59	69	68	24	10	50	25	70	37	96	49	88	23	28	33	34	7	8	29	4	93	71	18
49	69	44	38	59	50	94	35	71	42	5	37	7	36	83	12	63	90	96	32	29	66	52	61	20
79	90	81	47	19	6	58	5	38	36	51	87	20	14	57	78	49	91	48	62	92	77	4	9	97
5	10	49	70	87	3	29	16	20	92	30	8	78	22	56	74	79	54	60	53	93	50	1	82	48
97	5	31	50	78	7	64	90	19	47	24	38	52	45	42	8	69	95	20	4	11	23	73	60	76
46	22	15	18	36	63	68	7	49	71	56	51	89	70	84	30	1	33	60	16	74	17	99	95	40
49	30	92	55	44	20	39	5	82	7	66	58	87	43	80	40	23	98	64	63	32	88	76	22	6
77	53	68	33	21	86	13	32	34	40	65	29	22	31	23	82	94	37	45	84	10	11	64	75	72
35	28	79	81	27	65	10	99	43	9	57	30	73	74	8	50	16	46	68	93	44	26	86	95	5
54	93	11	22	82	62	17	63	39	25	52	47	15	14	34	24	69	91	33	88	98	27	2	70	23
82	29	33	57	45	1	76	88	15	4	59	68	38	61	43	63	10	28	52	7	96	36	71	17	2
96	50	74	36	33	48	28	73	46	91	63	21	43	29	17	64	34	88	90	44	71	78	69	77	84
71	15	97	48	37	73	8	54	82	70	81	1	29	44	49	41	12	57	27	11	88	83	50	22	61
46	41	19	77	72	73	67	16	59	63	75	49	28	53	4	36	32	69	55	11	15	40	2	95	88
25	78	27	83	22	59	48	43	14	53	50	17	44	87	33	70	31	54	65	86	62	72	32	80	26
2	43	58	35	72	36	39	19	68	14	57	94	71	3	86	26	12	99	45	49	11	73	42	78	74
99	16	13	9	22	17	88	85	90	1	93	31	28	39	89	52	65	57	74	29	76	34	64	51	96
82	88	7	33	51	67	9	35	74	52	48	14	90	71	85	59	91	16	12	73	68	27	10	18	28
6	34	62	66	55	42	60	45	23	57	68	5	53	37	17	59	49	90	86	64	31	43	98	39	33
57	1	32	80	15	9	3	20	36	79	89	69	97	83	33	92	26	93	99	18	65	62	63	90	44
79	18	84	20	85	75	25	58	56	21	52	87	89	9	94	44	71	88	50	95	32	42	93	17	47
74	7	56	50	73	95	46	38	45	24	41	71	91	27	82	87	12	77	21	13	57	94	35	79	76
65	40	86	10	9	47	27	18	99	77	13	48	56	30	32	83	73	39	80	91	53	17	81	43	55
63	86	97	84	20	93	91	42	78	33	8	55	39	88	71	58	14	18	83	25	75	22	53	74	77
10	44	83	32	58	15	76	18	19	78	40	70	82	62	96	46	29	11	1	65	56	63	30	9	69
59	5	50	31	97	18	83	6	46	14	22	77	52	79	15	87	73	43	89	80	32	69	29	17	25
64	67	42	40	24	61	29	62	83	44	65	94	46	13	23	33	17	31	25	63	7	45	36	54	34
2	89	5	22	29	56	13	99	96	31	55	7	88	32	23	16	79	70	63	36	47	75	98	26	33
75	82	5	36	86	29	56	97	27	71	22	42	89	50	21	43	92	14	85	67	16	12	55	90	2
54	10	64	34	53	47	81	12	45	1	86	78	25	87	22	68	99	19	71	84	63	57	48	89	62
61	60	78	14	68	35	71	43	41	1	8	77	65	74	27	62	98	66	28	80	18	38	31	19	26
98	44	39	50	29	85	22	46	16	18	60	77	32	68	43	40	26	75	6	28	97	61	93	70	37
56	68	43	30	22	18	35	73	33	84	45	47	55	80	79	31	67	3	61	26	32	25	76	1	57
20	36	44	69	2	93	94	39	53	45	4	75	12	58	9	18	79	42	56	90	13	67	86	8	57
22	57	9	90	46	26	50	78	84	7	86	35	58	75	68	36	27	54	91	5	13	82	89	52	16
41	30	24	86	32	47	9	42	96	56	33	94	29	75	37	87	11	53	51	49	31	62	7	39	71
60	59	69	10	6	24	47	44	68	17	48	31	33	13	15	36	18	90	11	12	1	8	14	21	67
74	47	34	58	19	4	82	22	29	23	40	81	60	30	7	64	33	53	52	93	49	67	87	41	59
75	55	37	45	27	66	9	34	5	59	87	20	96	4	86	42	44	33	79	2	53	62	60	57	41
46	55	71	49	24	96	52	94	62	77	43	50	67	74	40	97	30	32	39	4	85	48	11	58	66
3	86	98	38	94	31	4	2	61	21	36	60	39	11	87	71	65	82	59	45	64	92	85	40	90
67	94	47	65	93	86	46	13	55	90	56	74	72	97	98	60	44	50	91	96	41	38	17	32	79
41	48	32	82	64	22	43	5	89	59	14	23	11	51	10	81	67	9	76	25	57	53	80	94	18
63	35	30	97	28	49	98	24	16	62	70	55	45	90	86	17	23	64	84	40	65	82	12	42	29
80	58	60	30	71	79	28	66	20	62	14	27	51	9	67	96	29	12	95	42	23	4	64	78	43
98	2	60	40	41	10	63	94	45	1	23	52	3	46	69	71	90	92	84	73	20	62	24	4	57
50	77	10	56	72	87	52	40	3	67	36	20	46	30	68	83	81	1	70	78	7	35	94	27	74
76	7	47	61	77	59	88	53	21	63	57	37	12	16	69	50	44	28	32	38	4	15	92	30	91
90	8	61	9	20	15	51	84	80	55	4	32	58	38	44	91	14	49	22	6	52	37	3	21	86
17	68	12	97	83	13	53	67	40	88	85	34	52	82	93	43	57	3	2	80	32	23	21	98	5
9	41	27	73	80	38	93	48	64	68	79	86	66	87	88	98	69	96	71	18	33	58	22	45	15
49	69	55	15	37	73	84	26	97	71	2	36	22	24	93	96	1	74	76	54	68	89	42	95	64
84	69	28	48	20	95	79	97	46	64	54	15	37	11	52	82	42	85	45	30	38	89	87	32	86
43	39	79	90	52	82	16	78	65	45	51	30	60	6	21	44	83	91	84	5	50	20	69	36	81
92	55	46	3	62	36	41	26	17	60	30	12	47	75	49	50	94	63	13	16	9	48	53	42	2
93	21	65	95	71	19	39	16	49	22	52	99	11	53	15	41	26	1	89	98	70	12	33	42	78
8	33	4	21	75	5	76	89	85	36	17	98	92	66	42	43	77	24	64	9	86	80	46	7	71
65	94	36	85	11	44	47	57	3	55	9	17	75	6	28	25	81	31	58	72	1	10	38	76	7
13	88	61	20	38	72	89	50	92	60	85	33	96	14	19	95	53	30	47	74	37	78	17	11	83
7	68	22	99	81	86	94	48	12	16	71	6	64	29	27	35	96	44	65	1	17	20	13	34	93
57	85	49	34	82	54	73	92	69	80	14	78	94	5	58	35	21	71	18	66	46	26	8	1	56
26	68	40	16	23	36	77	46	90	47	60	32	97	21	52	3	71	9	24	54	39	72	96	31	17
48	75	83	62	89	72	68	54	67	65	9	44	39	64	69	14	50	12	91	97	60	87	82	63	2
97	77	31	33	18	81	7	10	70	90	40	24	26	25	67	53	62	78	38	61	82	15	2	8	41
82	36	87	28	58	64	10	41	99	66	71	63	74	81	70	49	52	83	84	9	95	94	93	22	50
29	88	7	22	32	45	5	17	4	39	31	63	30	41	76	89	92	55	93	56	91	74	99	84	48
46	96	80	92	1	36	59	91	77	3	39	90	12	61	55	20	28	30	53	63	17	7	72	27	52
25	61	60	48	51	68	53	83	33	99	65	5	39	19	43	67	31	34	56	45	82	6	26	22	17
8	55	47	98	39	14	65	68	4	84	11	70	26	46	60	20	10	7	74	94	66	32	99	80	86
21	47	19	27	78	52	18	99	34	8	36	95	54	62	11	29	59	67	74	83	76	85	32	65	10
14	90	36	28	13	71	5	74	22	1	68	97	80	60	3	53	39	49	81	43	7	16	27	38	24
22	80	97	68	58	90	26	23	25	98	54	55	9	99	24	69	7	39	16	51	74	86	44	95	40
93	25	46	52	70	34	39	61	29	72	9	76	56	87	31	43	58	18	97	28	45	74	47	1	53
27	16	73	24	50	21	29	34	5	41	63	49	19	30	95	57	23	60	38	52	12	7	76	32	44
82	34	67	25	78	81	86	93	16	53	56	59	48	23	62	51	8	38	21	68	33	76	88	70	64
86	75	20	40	1	45	38	94	76	98	3	82	57	83	97	12	34	42	17	79	30	39	19	53	64
97	52	16	99	5	6	22	61	19	39	11	55	62	59	17	82	78	67	88	32	94	50	70	26	53
66	75	85	97	88	67	22	60	94	68	8	95	21	18	87	3	7	72	26	71	38	42	53	99	25
6	7	58	97	36	95	51	15	63	66	2	74	70	79	49	78	67	16	93	48	17	81	50	28	35
33	66	61	82	97	19	37	73	17	13	4	44	55	72	62	2	80	43	57	24	86	84	51	54	1
18	37	99	7	16	59	71	64	82	63	60	53	25	79	24	66	80	6	47	14	41	95	30	52	1
7	61	38	89	63	36	66	71	6	3	70	56	91	84	40	28	82	59	81	93	17	44	46	48	11
21	97	17	78	42	53	2	34	15	16	79	61	67	86	58	95	29	24	77	1	30	35	26	48	49
31	93	14	29	79	80	63	74	24	72	9	44	19	22	15	26	61	92	94	47	13	42	77	30	58
51	40	30	63	59	6	86	41	66	49	1	37	24	90	72	95	31	58	70	75	16	97	15	91	46
7	37	47	62	92	29	12	91	45	74	66	8	27	63	10	40	44	11	38	99	28	58	31	79	86
11	36	85	38	8	45	2	92	68	78	75	37	27	57	86	35	30	14	71	73	90	10	23	67	94
88	26	22	10	68	38	46	48	14	55	3	71	50	7	43	58	69	57	18	35	77	20	34	63	33
65	36	57	92	46	63	30	17	27	83	21	41	51	68	5	39	1	61	87	79	48	77	62	89	81
56	14	31	81	12	94	2	62	43	51	5	82	89	34	74	18	36	42	98	10	39	86	75	64	32
31	50	18	25	38	40	86	68	33	69	64	1	7	87	20	56	95	93	16	77	75	6	15	14	98
49	81	43	34	56	64	87	88	71	47	10	20	70	27	93	85	14	21	94	59	46	76	68	41	89
67	24	70	89	22	34	2	68	63	79	18	35	60	48	73	4	47	94	56	81	86	52	99	9	88
57	26	35	85	73	47	52	32	45	63	6	51	94	75	42	56	28	90	9	99	60	20	30	37	8
15	91	42	29	87	9	92	72	64	12	37	45	43	95	56	84	68	65	20	16	19	6	28	88	21
66	42	91	68	27	8	56	3	70	53	19	89	55	97	62	39	33	32	20	45	12	63	25	35	13
58	49	40	6	82	93	7	30	63	25	38	72	16	15	57	70	45	74	12	4	8	46	3	80	18
8	65	23	9	6	63	15	87	94	84	28	50	92	76	1	24	95	74	5	17	19	69	73	34	51
86	44	10	78	56	90	61	11	87	77	94	49	66	59	30	34	62	29	38	26	53	42	12	43	19
16	71	7	32	10	29	50	73	75	65	22	96	37	88	46	89	92	51	90	83	95	39	77	93	19
60	6	49	93	79	64	65	61	48	59	21	50	30	96	13	69	26	39	4	31	86	94	38	82	72
88	83	82	45	20	34	5	76	57	86	61	9	81	79	78	44	21	43	97	12	87	56	92	63	31
95	37	91	58	64	42	4	30	1	65	25	73	86	48	84	94	81	53	54	3	27	23	22	63	16
9	40	77	83	68	8	53	76	55	64	54	79	73	29	23	30	52	34	25	14	75	70	67	71	20
48	76	3	95	62	66	14	94	84	89	81	19	69	39	90	99	59	27	30	73	11	2	13	25	79
3	5	89	45	52	50	32	31	25	21	10	46	92	80	53	58	57	19	17	75	23	91	82	83	70
88	99	7	16	18	71	3	32	56	94	67	78	91	2	40	65	84	83	15	47	10	55	4	79	8
56	60	70	77	82	5	45	61	12	50	97	74	32	20	92	81	9	90	64	13	33	26	76	78	63
67	57	95	31	5	4	37	83	89	64	41	8	33	22	10	80	46	68	13	20	25	61	28	76	91
66	57	40	83	89	5	54	15	82	48	69	23	75	37	19	12	71	44	34	60	21	4	76	14	27
51	24	66	28	35	52	81	89	96	40	19	76	84	70	33	94	53	65	98	92	38	72	31	6	27
80	73	10	75	51	22	31	59	40	52	25	14	67	54	71	55	26	96	88	50	84	79	95	68	72
59	58	17	27	67	57	69	19	60	20	11	42	2	12	70	84	98	4	97	62	38	23	88	83	75
47	16	40	51	60	8	31	86	3	21	19	30	49	2	29	82	67	85	46	92	14	97	26	98	90
82	7	14	53	83	75	30	76	98	32	88	92	63	56	96	60	8	4	6	25	62	85	18	71	51
89	34	18	63	43	32	75	53	90	66	93	49	23	38	7	8	57	4	40	9	54	37	62	2	47
74	97	27	72	29	38	12	5	39	30	81	59	60	19	75	93	62	51	32	67	69	76	70	77	14
63	97	10	4	94	36	87	91	34	22	38	37	13	78	64	45	20	85	93	61	77	69	25	58	18
36	16	19	87	25	7	58	17	9	12	81	61	10	55	40	32	49	59	4	63	57	85	86	72	23
81	14	82	15	11	26	83	71	29	87	68	46	34	24	56	19	90	16	17	84	97	77	74	27	57
87	50	36	23	58	38	35	25	51	93	81	44	21	39	76	29	22	57	56	3	65	53	55	75	80
36	53	55	56	31	95	39	45	77	21	78	14	58	68	70	5	87	29	47	96	1	72	84	13	51
27	67	47	84	29	10	21	48	61	39	5	2	11	76	50	75	78	45	98	96	23	93	37	43	85
13	49	35	20	31	11	8	63	73	4	32	53	72	96	83	88	43	62	38	51	99	68	74	24	26
53	10	66	3	86	11	39	57	40	59	1	95	56	71	87	5	50	64	81	29	97	47	79	32	7
58	76	7	99	65	93	5	73	43	55	41	35	40	28	24	54	96	20	92	47	71	94	85	53	39
38	72	43	28	58	79	75	85	99	8	90	19	68	46	40	48	54	29	44	32	10	78	37	1	66
6	51	14	77	16	39	7	64	42	50	57	76	94	97	69	58	68	92	21	60	41	80	27	10	48
61	98	47	96	6	50	10	36	54	30	83	8	29	25	27	67	97	70	91	74	99	53	93	49	84
3	67	49	76	34	75	13	47	17	80	59	60	14	65	52	22	93	71	51	91	8	28	50	9	61
35	28	7	59	66	32	83	25	62	40	68	80	5	56	4	16	77	30	9	88	48	94	43	13	44
5	4	63	17	96	92	58	75	47	21	78	74	91	52	97	36	23	57	77	50	60	41	22	31	54
46	90	48	77	65	25	67	51	32	96	73	41	29	37	76	34	58	3	19	42	93	72	56	85	61
52	32	71	17	85	59	99	43	55	62	60	79	81	30	69	76	72	7	51	14	94	2	73	46	13
30	72	36	81	8	40	26	87	79	48	69	61	78	94	11	18	3	2	9	46	5	16	60	53	90
67	75	60	16	27	86	97	58	94	47	35	6	4	71	83	77	32	56	62	18	84	76	52	25	40
54	74	57	7	65	83	67	84	69	51	82	95	79	37	4	45	32	92	50	27	33	2	13	63	58
20	28	43	51	53	2	11	94	36	61	41	77	88	83	84	9	99	72	60	64	52	5	81	63	6
47	75	72	71	53	38	21	28	30	31	86	5	42	61	17	65	51	96	36	19	89	87	50	39	33
7	96	12	9	49	5	29	2	77	79	10	75	73	80	42	85	48	89	24	67	33	52	43	3	88
31	54	57	96	14	22	41	43	81	52	45	30	64	63	12	27	11	9	66	4	35	68	75	84	48
80	23	53	49	22	16	42	82	29	18	14	87	79	46	4	72	28	89	8	21	3	27	44	62	17
59	80	98	48	36	69	15	25	67	66	46	37	95	35	40	41	50	57	3	85	47	93	92	29	1
38	66	63	12	91	41	37	13	73	94	88	65	15	34	76	33	11	93	40	72	70	5	20	31	55
76	41	93	22	73	3	81	17	69	2	71	99	88	5	58	77	55	36	21	1	11	75	82	32	33
73	30	99	92	3	42	35	79	69	77	82	4	32	37	1	45	86	6	12	65	85	70	57	22	8
46	17	36	90	62	31	40	51	45	44	94	49	14	6	2	29	28	24	30	61	71	35	79	73	12
22	64	66	10	58	21	18	93	99	5	81	11	16	41	84	71	63	60	8	25	39	24	68	29	4
89	46	83	28	4	39	13	94	14	34	84	50	19	81	52	72	5	40	57	60	20	27	33	44	78
12	54	32	8	73	59	44	29	98	65	26	80	76	78	15	89	1	52	71	81	86	21	43	17	97
19	59	30	71	43	29	97	56	85	96	1	44	12	50	95	22	34	42	90	75	88	15	3	70	83
43	52	10	99	74	2	15	37	83	20	18	29	9	6	8	98	31	48	95	73	61	13	3	44	91
30	96	46	42	19	77	34	25	83	98	73	16	21	80	4	18	97	64	75	52	23	41	82	20	17
24	22	78	71	90	52	4	45	92	84	67	19	39	10	62	99	17	38	34	59	47	72	58	16	68
53	51	18	87	6	50	16	99	48	77	82	86	52	21	40	5	47	23	14	1	80	30	2	41	68
67	32	23	21	95	86	27	70	5	83	15	30	35	90	63	6	65	82	93	28	12	64	61	45	80
27	85	3	52	87	29	97	48	59	54	81	38	14	23	37	46	71	63	41	28	7	31	18	93	25
35	49	87	46	64	15	42	29	27	71	83	47	99	20	8	32	54	80	41	22	57	78	86	76	60
77	38	5	47	58	60	40	59	8	9	93	65	15	53	72	63	80	97	57	67	17	2	43	78	95
36	94	91	16	13	56	99	54	67	75	72	30	20	19	40	65	9	4	77	45	81	32	74	28	86
16	42	75	81	31	27	20	19	51	50	68	98	96	28	88	29	52	80	43	9	48	3	4	90	91
97	5	87	25	77	57	71	80	93	15	29	85	83	53	69	51	36	60	92	30	42	18	7	21	58
30	11	53	48	10	51	29	55	64	71	43	28	99	16	3	63	14	58	52	46	92	6	68	12	32
54	85	80	15	20	41	29	94	62	69	11	98	43	4	52	59	57	60	58	12	74	35	73	6	22
15	6	69	19	68	13	96	81	71	54	33	72	55	43	48	31	97	3	87	44	63	16	18	17	9
5	71	76	70	85	55	97	84	68	28	65	56	2	59	89	30	63	21	66	51	38	47	24	16	14
65	72	1	82	35	4	46	69	71	26	16	8	85	97	23	13	24	80	18	94	2	61	99	56	96
33	61	45	74	36	12	21	86	94	51	10	71	58	84	88	22	95	2	92	69	55	39	24	64	63
34	30	28	54	81	83	65	9	88	57	19	87	10	74	20	4	37	82	32	6	7	58	22	33	90
55	97	40	24	64	26	45	63	98	2	75	89	29	12	37	86	85	90	6	25	70	91	81	17	58
57	33	63	35	67	64	7	74	96	52	13	31	5	50	56	85	95	78	47	19	65	53	29	26	27
9	53	16	34	67	70	3	76	68	29	22	35	26	87	63	8	86	75	33	57	82	17	79	30	96
95	99	8	32	18	73	59	33	13	62	5	19	24	91	54	11	96	21	15	70	2	39	58	22	83
85	91	61	90	33	30	54	11	3	96	27	89	97	8	77	31	2	50	37	6	29	47	24	51	25
40	15	22	94	96	13	7	83	21	85	50	68	63	95	37	39	89	34	3	44	30	93	31	12	49
25	39	99	7	21	63	85	24	74	10	47	83	76	77	14	22	13	84	88	33	44	27	73	81	59
74	51	53	27	81	7	3	20	55	56	72	90	91	25	84	63	46	65	32	76	28	64	41	87	68
89	72	41	43	13	91	55	9	6	92	37	24	90	98	36	11	42	21	22	25	95	79	26	19	31
76	69	65	25	71	61	52	23	96	82	94	67	37	47	11	44	57	99	68	42	17	4	6	35	77
21	18	14	53	5	12	34	57	87	20	22	94	6	41	66	48	35	97	63	33	78	77	76	62	98
62	23	70	21	1	76	54	75	71	16	88	79	50	3	98	32	48	51	11	24	92	91	2	39	94
3	43	27	80	17	92	49	85	54	4	79	35	24	99	73	19	22	48	64	55	93	33	67	7	26
1	89	14	86	12	56	47	10	73	21	72	13	8	76	99	63	40	32	18	31	11	27	95	37	97
40	43	54	74	96	58	89	76	53	48	9	99	32	30	51	1	56	60	57	3	83	82	4	35	77
69	35	81	46	52	80	92	21	6	89	98	31	66	97	86	34	12	1	90	85	84	23	49	96	27
17	40	8	63	66	71	98	85	89	18	23	54	60	39	36	84	46	15	95	56	90	75	32	28	58
46	45	64	12	26	34	71	32	51	9	48	28	93	88	99	67	22	76	63	72	60	21	89	20	77
58	1	75	14	73	16	79	50	89	60	36	32	21	74	27	70	26	48	63	87	57	77	15	42	52
4	34	19	94	47	40	88	92	35	74	99	45	8	5	21	75	62	14	17	16	91	22	33	73	56
67	73	1	58	8	30	84	14	29	78	60	31	15	7	65	90	96	27	70	71	48	18	17	53	92
33	51	7	49	78	80	16	2	1	96	26	38	64	4	62	31	24	93	66	22	52	35	23	47	6
62	81	33	4	83	97	28	11	93	61	14	73	26	36	47	75	22	68	42	7	21	15	53	25	58
97	1	40	48	98	74	88	71	21	50	39	10	73	46	16	78	95	25	2	58	70	32	72	96	14
67	82	94	98	5	28	74	19	21	86	72	22	84	34	50	18	31	15	92	63	9	45	27	77	88
47	92	8	37	15	99	4	27	98	73	53	41	25	96	13	93	62	67	84	91	44	34	74	81	79
97	85	67	32	89	86	25	57	70	43	58	36	74	6	54	10	52	38	15	66	33	41	48	87	20
55	20	89	31	36	56	23	41	14	44	64	52	4	40	76	3	84	54	30	6	81	29	17	72	45
32	43	4	75	46	68	57	53	13	86	50	16	26	93	49	20	9	79	31	40	78	63	30	65	98
91	11	39	61	41	20	65	64	88	6	68	29	7	92	75	78	56	13	53	76	66	55	80	40	38
81	38	42	73	22	67	28	37	32	44	26	36	64	78	29	47	19	14	60	11	66	61	93	21	27
28	49	50	12	57	98	70	64	67	71	30	33	48	20	25	66	53	96	74	95	78	68	83	3	89
85	88	29	61	10	27	40	62	81	67	58	15	42	23	30	41	71	7	39	49	22	20	92	38	52
